datetime,open,high,low,close,volume
2024-03-04 09:15:00,73909.42,73979.58,73877.64,73894.65,0
2024-03-04 09:16:00,73890.76,73936.39,73860.01,73934.52,0
2024-03-04 09:17:00,73929.38,73938.55,73903.36,73927.59,0
2024-03-04 09:18:00,73929.96,73959.67,73927.36,73946.84,0
2024-03-04 09:19:00,73940.62,73974.14,73933.88,73971.25,0
2024-03-04 09:20:00,73971.22,73971.22,73928.29,73942.48,0
2024-03-04 09:21:00,73943.78,73944.82,73904.22,73906.25,0
2024-03-04 09:22:00,73905.28,73915.29,73850.31,73852.94,0
2024-03-04 09:23:00,73854.52,73905.03,73835.82,73905.03,0
2024-03-04 09:24:00,73908.46,73932.19,73897.16,73919.47,0
2024-03-04 09:25:00,73921.85,73929.4,73899.93,73915.75,0
2024-03-04 09:26:00,73920.95,73925.05,73903.99,73911.45,0
2024-03-04 09:27:00,73909.68,73909.68,73874.04,73889.09,0
2024-03-04 09:28:00,73887.0,73888.57,73875.45,73880.84,0
2024-03-04 09:29:00,73877.78,73877.78,73828.33,73828.82,0
2024-03-04 09:30:00,73825.51,73848.03,73815.03,73842.67,0
2024-03-04 09:31:00,73844.2,73844.2,73804.11,73824.46,0
2024-03-04 09:32:00,73824.36,73864.17,73823.92,73863.26,0
2024-03-04 09:33:00,73860.6,73870.9,73855.05,73864.63,0
2024-03-04 09:34:00,73861.05,73870.96,73856.84,73863.55,0
2024-03-04 09:35:00,73863.26,73869.35,73856.76,73869.35,0
2024-03-04 09:36:00,73881.36,73881.36,73831.65,73837.49,0
2024-03-04 09:37:00,73839.92,73839.92,73803.11,73821.81,0
2024-03-04 09:38:00,73822.01,73834.6,73801.76,73801.76,0
2024-03-04 09:39:00,73800.09,73803.87,73751.39,73771.16,0
2024-03-04 09:40:00,73770.99,73778.37,73752.46,73761.21,0
2024-03-04 09:41:00,73759.82,73782.32,73759.82,73778.32,0
2024-03-04 09:42:00,73779.21,73797.47,73773.38,73797.47,0
2024-03-04 09:43:00,73797.47,73846.89,73795.31,73843.84,0
2024-03-04 09:44:00,73844.92,73861.95,73844.38,73859.71,0
2024-03-04 09:45:00,73859.19,73872.04,73831.54,73836.46,0
2024-03-04 09:46:00,73836.96,73836.96,73804.51,73804.51,0
2024-03-04 09:47:00,73806.23,73825.67,73806.23,73811.1,0
2024-03-04 09:48:00,73813.01,73813.33,73757.41,73771.69,0
2024-03-04 09:49:00,73768.17,73771.96,73752.04,73753.2,0
2024-03-04 09:50:00,73753.19,73776.76,73747.54,73776.53,0
2024-03-04 09:51:00,73778.52,73805.97,73777.95,73778.29,0
2024-03-04 09:52:00,73776.06,73793.15,73755.62,73790.32,0
2024-03-04 09:53:00,73786.88,73796.72,73777.18,73795.23,0
2024-03-04 09:54:00,73794.39,73805.94,73785.83,73802.51,0
2024-03-04 09:55:00,73801.21,73804.32,73779.24,73800.71,0
2024-03-04 09:56:00,73800.68,73805.08,73773.05,73776.51,0
2024-03-04 09:57:00,73772.1,73796.83,73761.93,73792.93,0
2024-03-04 09:58:00,73789.41,73802.48,73785.1,73802.48,0
2024-03-04 09:59:00,73802.97,73807.52,73779.33,73796.59,0
2024-03-04 10:00:00,73792.01,73799.17,73779.34,73780.47,0
2024-03-04 10:01:00,73780.67,73801.59,73780.67,73797.89,0
2024-03-04 10:02:00,73797.09,73837.66,73791.92,73827.5,0
2024-03-04 10:03:00,73830.47,73847.13,73825.1,73847.13,0
2024-03-04 10:04:00,73851.95,73884.74,73849.02,73869.88,0
2024-03-04 10:05:00,73866.73,73890.94,73865.73,73889.17,0
2024-03-04 10:06:00,73889.84,73898.75,73873.54,73886.15,0
2024-03-04 10:07:00,73888.49,73904.95,73884.56,73889.07,0
2024-03-04 10:08:00,73889.07,73889.07,73861.83,73865.96,0
2024-03-04 10:09:00,73864.46,73875.99,73855.14,73874.95,0
2024-03-04 10:10:00,73876.78,73895.54,73876.78,73891.06,0
2024-03-04 10:11:00,73889.8,73894.62,73883.58,73891.82,0
2024-03-04 10:12:00,73891.82,73895.73,73886.99,73890.44,0
2024-03-04 10:13:00,73889.91,73889.91,73867.43,73869.96,0
2024-03-04 10:14:00,73867.52,73876.85,73863.78,73865.65,0
2024-03-04 10:15:00,73863.65,73887.99,73863.65,73882.79,0
2024-03-04 10:16:00,73884.14,73902.32,73876.8,73902.32,0
2024-03-04 10:17:00,73906.54,73908.33,73890.77,73891.95,0
2024-03-04 10:18:00,73891.72,73903.87,73880.44,73903.87,0
2024-03-04 10:19:00,73903.87,73906.99,73886.09,73886.09,0
2024-03-04 10:20:00,73886.02,73890.55,73878.9,73890.55,0
2024-03-04 10:21:00,73889.18,73890.36,73868.06,73890.36,0
2024-03-04 10:22:00,73890.47,73904.85,73885.02,73904.85,0
2024-03-04 10:23:00,73905.69,73918.61,73898.96,73916.04,0
2024-03-04 10:24:00,73918.14,73933.49,73903.66,73927.76,0
2024-03-04 10:25:00,73925.65,73941.22,73909.17,73938.81,0
2024-03-04 10:26:00,73940.5,73945.99,73929.57,73934.49,0
2024-03-04 10:27:00,73931.48,73937.9,73923.57,73926.93,0
2024-03-04 10:28:00,73931.9,73941.96,73927.36,73941.96,0
2024-03-04 10:29:00,73941.89,73942.16,73915.39,73923.62,0
2024-03-04 10:30:00,73923.7,73944.82,73922.92,73922.92,0
2024-03-04 10:31:00,73919.84,73941.54,73918.32,73936.01,0
2024-03-04 10:32:00,73935.32,73973.73,73935.32,73970.73,0
2024-03-04 10:33:00,73970.3,73984.37,73969.69,73974.98,0
2024-03-04 10:34:00,73975.65,73987.85,73965.64,73972.26,0
2024-03-04 10:35:00,73974.14,73978.22,73963.28,73971.3,0
2024-03-04 10:36:00,73969.76,73972.88,73949.93,73954.21,0
2024-03-04 10:37:00,73951.93,73955.41,73940.66,73946.1,0
2024-03-04 10:38:00,73946.94,73970.39,73942.21,73961.43,0
2024-03-04 10:39:00,73962.16,73973.11,73953.37,73969.53,0
2024-03-04 10:40:00,73969.62,73971.14,73960.07,73963.68,0
2024-03-04 10:41:00,73963.36,73971.27,73954.87,73958.4,0
2024-03-04 10:42:00,73959.42,73971.12,73956.3,73963.03,0
2024-03-04 10:43:00,73963.07,73972.87,73958.2,73968.06,0
2024-03-04 10:44:00,73965.29,73967.47,73941.87,73941.87,0
2024-03-04 10:45:00,73941.17,73943.13,73903.42,73916.76,0
2024-03-04 10:46:00,73916.34,73938.71,73905.65,73912.97,0
2024-03-04 10:47:00,73914.79,73938.02,73914.15,73921.65,0
2024-03-04 10:48:00,73922.01,73930.65,73915.11,73930.29,0
2024-03-04 10:49:00,73927.61,73928.61,73909.5,73909.5,0
2024-03-04 10:50:00,73909.42,73910.74,73891.73,73895.78,0
2024-03-04 10:51:00,73896.63,73906.42,73887.62,73906.42,0
2024-03-04 10:52:00,73905.26,73923.75,73894.41,73894.41,0
2024-03-04 10:53:00,73889.36,73889.36,73873.8,73886.19,0
2024-03-04 10:54:00,73887.81,73887.81,73848.01,73848.01,0
2024-03-04 10:55:00,73848.01,73850.33,73811.67,73812.92,0
2024-03-04 10:56:00,73814.26,73815.56,73782.98,73801.48,0
2024-03-04 10:57:00,73796.1,73801.74,73783.36,73801.74,0
2024-03-04 10:58:00,73803.99,73808.5,73778.83,73781.83,0
2024-03-04 10:59:00,73781.83,73782.84,73759.69,73776.22,0
2024-03-04 11:00:00,73776.72,73798.45,73772.37,73798.11,0
2024-03-04 11:01:00,73800.54,73825.1,73799.21,73824.35,0
2024-03-04 11:02:00,73823.8,73833.78,73817.64,73821.36,0
2024-03-04 11:03:00,73822.17,73825.04,73801.0,73806.76,0
2024-03-04 11:04:00,73808.69,73810.4,73764.32,73772.0,0
2024-03-04 11:05:00,73772.82,73805.61,73769.28,73805.09,0
2024-03-04 11:06:00,73810.21,73819.19,73800.12,73800.43,0
2024-03-04 11:07:00,73800.14,73819.82,73795.2,73816.21,0
2024-03-04 11:08:00,73817.83,73837.61,73817.83,73833.46,0
2024-03-04 11:09:00,73833.1,73833.1,73817.59,73818.34,0
2024-03-04 11:10:00,73818.15,73822.88,73809.75,73819.02,0
2024-03-04 11:11:00,73819.78,73828.93,73816.37,73828.89,0
2024-03-04 11:12:00,73828.23,73837.86,73822.55,73824.64,0
2024-03-04 11:13:00,73822.44,73832.65,73805.05,73832.65,0
2024-03-04 11:14:00,73832.06,73867.93,73823.98,73864.43,0
2024-03-04 11:15:00,73869.13,73915.23,73869.13,73913.17,0
2024-03-04 11:16:00,73913.5,73927.01,73901.07,73910.83,0
2024-03-04 11:17:00,73907.51,73912.59,73897.82,73907.67,0
2024-03-04 11:18:00,73908.47,73908.47,73874.51,73875.06,0
2024-03-04 11:19:00,73879.21,73888.59,73856.01,73856.01,0
2024-03-04 11:20:00,73856.06,73858.47,73813.31,73824.19,0
2024-03-04 11:21:00,73823.57,73855.99,73823.57,73854.96,0
2024-03-04 11:22:00,73854.19,73858.05,73832.1,73837.76,0
2024-03-04 11:23:00,73839.93,73869.81,73839.93,73862.91,0
2024-03-04 11:24:00,73863.41,73868.95,73853.32,73854.59,0
2024-03-04 11:25:00,73854.22,73869.04,73854.11,73867.54,0
2024-03-04 11:26:00,73867.58,73869.52,73847.23,73848.09,0
2024-03-04 11:27:00,73848.84,73850.35,73833.57,73842.77,0
2024-03-04 11:28:00,73839.95,73855.11,73831.86,73847.21,0
2024-03-04 11:29:00,73846.83,73848.47,73821.51,73823.14,0
